FeatID,Average
1646,5.7678
1310,5.7616
1656,5.7593
936,5.7551
2142,5.7529
1067,5.7463
1521,5.7461
1330,5.7451
258,5.7419
1800,5.7353
733,5.7342
174,5.7331
1865,5.7327
1935,5.7133
1960,5.7091
344,5.6946
1690,5.6881
1694,5.6796
2097,5.6789
862,5.674
392,5.6731
1721,5.6679
2057,5.6648
1490,5.6492
1790,5.6395
2034,5.6241
440,5.6168
1836,5.5975
1244,5.5953
188,5.578
2053,5.5679
52,5.565
157,5.5612
327,5.5568
1598,5.5565
481,5.553
1052,5.54
874,5.539
1934,5.5366
1395,5.5259
260,5.521
672,5.5207
1720,5.5183
942,5.5134
652,5.5081
283,5.4974
2123,5.4965
1068,5.4964
1837,5.4903
1072,5.4903
2164,5.4895
932,5.4831
1882,5.482
855,5.4781
117,5.4603
1869,5.4543
1171,5.4397
155,5.4231
598,5.4134
946,5.4059
772,5.4017
215,5.4013
1947,5.3984
1288,5.3971
55,5.3952
293,5.3922
1852,5.39
1102,5.3867
1552,5.3846
152,5.3823
876,5.3703
811,5.3686
1347,5.3645
58,5.3608
1789,5.3586
1772,5.3577
884,5.3434
746,5.3302
1301,5.3223
140,5.3219
41,5.3136
558,5.3099
2001,5.3091
1541,5.3067
1565,5.2979
521,5.2977
1009,5.2964
963,5.2878
1088,5.2836
1001,5.2788
1920,5.2763
1667,5.2743
457,5.2705
1363,5.2669
175,5.2503
1123,5.2388
1388,5.2335
2112,5.2321
675,5.2262
508,5.2221
517,5.2164
898,5.2142
360,5.1995
370,5.1976
287,5.1918
1010,5.1868
761,5.1854
1059,5.1842
474,5.1786
911,5.1741
1319,5.1694
1628,5.1679
397,5.1509
1739,5.1448
1826,5.1378
790,5.1363
272,5.1214
599,5.1182
713,5.1121
785,5.1081
507,5.0941
1446,5.0938
1924,5.0922
1625,5.0844
1062,5.0833
974,5.083
543,5.0822
1991,5.0772
1983,5.0647
637,5.0604
701,5.0429
1635,5.0291
184,5.0186
1251,5.0159
1255,5.0035
1514,4.9947
846,4.9901
375,4.9856
573,4.9835
451,4.9695
135,4.968
789,4.9511
1818,4.9424
1888,4.9314
1989,4.9286
690,4.9281
1784,4.9278
98,4.9259
1460,4.9202
568,4.911
1512,4.9036
885,4.8982
711,4.885
1018,4.8793
2095,4.8754
1297,4.8742
1054,4.8715
1713,4.8593
1066,4.8576
2136,4.8453
807,4.8414
917,4.8402
534,4.8338
202,4.8337
742,4.8336
539,4.8268
1815,4.8168
1220,4.8128
951,4.8045
679,4.8027
1799,4.7988
1930,4.7861
82,4.782
1440,4.7807
2108,4.7772
1617,4.7771
975,4.7737
1501,4.7678
487,4.7649
1491,4.7606
549,4.7592
1069,4.7575
1242,4.756
1604,4.7366
1887,4.7301
973,4.7293
1741,4.7291
970,4.7269
1041,4.7265
352,4.7149
2144,4.7144
1189,4.7
781,4.6979
982,4.6919
2069,4.6862
1218,4.6857
491,4.6841
2114,4.6758
1630,4.6647
355,4.6566
137,4.6517
420,4.6485
74,4.6317
2074,4.6311
1543,4.6303
1468,4.6276
1099,4.6164
883,4.6047
1116,4.6035
3,4.6007
1999,4.5965
2102,4.594
1225,4.589
673,4.5866
915,4.5859
2149,4.5841
2025,4.5832
1703,4.5751
349,4.5751
216,4.57
1622,4.5592
1684,4.5587
1555,4.554
1494,4.5485
1113,4.5416
333,4.5411
682,4.5397
726,4.5396
85,4.533
1992,4.5185
2031,4.5055
1755,4.4946
1135,4.4903
1956,4.4892
959,4.4789
67,4.4782
56,4.4767
2105,4.4715
1376,4.4692
159,4.4662
828,4.4528
84,4.4368
767,4.4331
1581,4.433
2128,4.425
954,4.4206
2004,4.4151
841,4.4128
944,4.4081
2176,4.4022
877,4.4014
482,4.3878
1864,4.3865
138,4.3722
1835,4.3656
92,4.3636
1778,4.3537
893,4.3516
639,4.3514
1867,4.3486
2103,4.3463
586,4.3362
600,4.3318
776,4.3299
442,4.3256
716,4.3254
1762,4.3246
121,4.3213
856,4.3191
1333,4.3181
263,4.3095
455,4.2977
244,4.2856
1299,4.2796
770,4.278
1699,4.2716
425,4.2664
567,4.2625
102,4.2605
1482,4.2572
1286,4.2548
1023,4.253
1890,4.2511
912,4.2468
1743,4.246
1314,4.2437
589,4.2285
819,4.2272
1560,4.2249
2169,4.2144
295,4.2134
2080,4.2112
322,4.2096
1398,4.2093
328,4.2
1841,4.191
94,4.191
1654,4.1832
307,4.1732
1600,4.1713
1504,4.1708
1249,4.1607
1311,4.1568
1812,4.1547
640,4.1546
986,4.1461
1226,4.142
1902,4.1345
1114,4.1339
1005,4.1336
128,4.1319
638,4.1288
1936,4.1206
715,4.1196
1181,4.1072
1797,4.1057
1579,4.1039
1315,4.0973
1840,4.0969
341,4.0959
1204,4.0939
1952,4.0937
389,4.087
1965,4.0829
1870,4.0754
1432,4.0743
378,4.0742
968,4.0697
988,4.068
838,4.0679
1671,4.067
2158,4.0591
1564,4.0529
348,4.0397
1709,4.0255
1976,4.0244
371,4.0224
621,4.0222
1438,4.0206
651,4.0109
1937,4.0056
804,3.9961
559,3.9804
477,3.9801
865,3.975
1014,3.9715
30,3.9697
198,3.9689
228,3.9687
1234,3.9554
238,3.9536
1457,3.948
101,3.9478
224,3.9443
1469,3.9378
1448,3.9309
1131,3.9278
402,3.9207
887,3.9156
484,3.9112
1554,3.9062
577,3.9043
1906,3.8898
1601,3.8822
1593,3.8779
1016,3.8748
1740,3.8637
706,3.8629
264,3.8622
292,3.8615
579,3.8591
1544,3.8579
1317,3.8541
1775,3.8538
1918,3.848
197,3.8325
1263,3.8212
875,3.8072
1523,3.7932
1631,3.7892
1914,3.7826
207,3.7767
1190,3.7727
835,3.7712
72,3.7671
945,3.7608
1985,3.7602
1859,3.7558
1362,3.7482
1391,3.747
1053,3.7469
1442,3.7376
61,3.7369
1380,3.7297
1726,3.7273
707,3.7246
928,3.722
373,3.7156
136,3.7126
1000,3.7107
31,3.6979
48,3.6822
784,3.6815
126,3.6797
623,3.6758
1243,3.6696
1954,3.6695
1012,3.6643
798,3.6642
1098,3.6615
127,3.6492
278,3.6491
1405,3.6481
2129,3.6433
1904,3.6407
580,3.6326
183,3.6292
1182,3.6229
1078,3.6078
1115,3.6016
1786,3.5988
116,3.5888
902,3.5872
1449,3.5684
1938,3.5681
504,3.5681
873,3.561
1201,3.5517
1316,3.551
158,3.5445
1848,3.5437
698,3.5436
377,3.5418
168,3.5348
688,3.5246
1341,3.5187
654,3.5111
409,3.5077
1665,3.4962
561,3.4921
1267,3.4915
134,3.4842
1159,3.483
163,3.4672
49,3.4649
434,3.4637
2041,3.4559
1863,3.4548
708,3.452
1304,3.4516
1117,3.4495
1392,3.4428
720,3.4279
1265,3.4138
1519,3.3951
1614,3.3848
1997,3.3816
269,3.3742
1439,3.3711
1531,3.3615
280,3.3496
1415,3.3467
479,3.3395
1577,3.3389
1597,3.338
1283,3.3337
1160,3.3237
574,3.3221
431,3.3203
972,3.3178
2067,3.3175
556,3.3174
1302,3.3049
1248,3.2914
1371,3.2905
1022,3.2736
1307,3.2622
1437,3.2607
358,3.2549
1422,3.2498
1795,3.2462
146,3.2386
234,3.2364
1416,3.233
1643,3.2326
1063,3.231
509,3.2307
1428,3.2287
1807,3.2266
723,3.2217
1871,3.2206
1550,3.218
2056,3.2068
1551,3.2062
1717,3.2058
2082,3.1931
380,3.1906
872,3.1891
1279,3.1867
550,3.1856
1702,3.1846
1261,3.1834
2124,3.1681
1112,3.1534
456,3.1529
230,3.1386
1017,3.1327
1157,3.1299
859,3.1268
452,3.121
2027,3.1102
1215,3.0984
1462,3.0915
1325,3.0799
1582,3.0751
391,3.0682
978,3.0582
913,3.0581
26,3.0576
1179,3.0531
1019,3.0491
503,3.0462
1476,3.0373
286,3.0251
557,3.025
1511,3.0236
611,3.0115
648,3.01
676,3.0074
2127,3.0072
1272,3.0027
1173,2.9999
1750,2.9955
683,2.9872
119,2.9849
154,2.9806
1488,2.9763
71,2.972
195,2.9669
1180,2.9659
1397,2.9646
899,2.962
938,2.9553
1874,2.9547
1091,2.9546
2042,2.9497
1847,2.9473
941,2.9455
1402,2.9392
810,2.9391
1968,2.9359
21,2.9358
461,2.9281
1277,2.925
88,2.9182
1065,2.9046
619,2.9044
714,2.8913
356,2.8834
15,2.8679
1506,2.8568
644,2.8421
1149,2.8403
2045,2.8381
1454,2.8324
1080,2.8298
1228,2.8181
1539,2.8179
512,2.8161
520,2.8084
806,2.8022
825,2.8004
1079,2.7893
1647,2.7889
709,2.7885
513,2.7777
1252,2.7763
2017,2.771
2132,2.7705
1821,2.7684
1156,2.7649
1765,2.7639
1368,2.7576
578,2.7566
1045,2.7437
1365,2.7332
591,2.7205
89,2.7185
247,2.7113
326,2.7049
775,2.7005
426,2.6968
554,2.6918
532,2.6879
417,2.6804
